"";"X.dep_18";"X.dep_22";"X.dep_36";"X.dep_48";"X.dep_75"
"vocation";-0,3817;-0,625;1,0101;-0,435;0,4135
"épanouir";0,2603;0,5107;-0,4797;-0,464;0,2884
"exhorbitant";-0,4325;0,4681;0,3576;-0,116;-0,253
"héritier";0,506;-2,8339;-0,3401;-1,2041;2,1965
"radicalisation";-0,4098;-0,2487;-0,5259;-0,243;0,8107
"défiscalisées";0,2128;-0,3951;-0,239;0,6486;0,3162
"soeur";-0,3016;0,8262;-0,1958;-0,4364;-0,419
"reglementation";0,2128;0,5054;-0,239;-0,1105;-0,2863
"rythme";0,3412;0,5071;-0,9029;-0,6343;0,3805
"want";-0,5973;-1,3007;-0,3466;-0,1602;2,5644
"rayon";1,6447;1,3284;1,1907;-0,5745;-2,7902
"encombrement";-0,4804;-0,8912;-0,2114;-0,2707;1,4111
"interessement";0,2263;-0,8522;-0,2271;-0,1049;0,9566
"réactivité";-0,3204;2,2634;0,4513;-1,171;-1,3003
"dinosaure";0,3896;-0,3718;-0,3585;0,4987;0,2879
"balade";-0,3502;2,3722;0,4276;-0,0939;-1,6047
"visale";-0,8651;-1,1379;-0,502;-0,232;2,6934
"hégémonique";0,391;-0,1516;0,583;-0,0608;-0,4811
"souci";2,0948;1,3863;0,8169;-0,5403;-2,8144
"lignite";-0,3914;-0,8522;-0,2271;-0,1049;1,6801
"peur";-0,3956;-0,5932;-0,7783;1,5389;0,5196
"concurrence";0,3452;-2,2772;-0,4509;-1,3499;2,2874
"siemens";0,2743;0,3234;1,1628;-0,0884;-0,8045
"cndp";-2,0392;-0,8666;-0,3059;-0,5468;2,4975
"caractère";-0,5778;-2,6606;-1,186;1,2772;2,4276
"parapublics";-0,2678;-0,2003;-0,1554;-0,0718;0,5545
"2km";-0,2472;5,5297;0,5509;-0,0663;-4,5052
"fin";-3,0522;0,7872;-2,9898;-0,4496;1,9541
"zad";0,4229;-0,4485;-0,1195;0,9229;-0,2406
"fil";-0,276;1,4037;0,414;2,3805;-2,0827
"touchant";2,0026;0,6556;-0,7115;-0,9373;-0,9091
"hospitalier";1,2187;4,7614;-0,2644;0,6284;-5,151
"député";1,9622;11,7868;0,8909;-0,9591;-11,2364
"espèce";2,3509;4,8536;0,405;6,6723;-10,3626
"sécurisant";-0,6591;-0,4202;-0,3824;-0,1768;1,3044
"prébende";-0,3285;-0,5754;-0,1402;0,4165;0,5614
"development";-0,2266;-0,4934;-0,1315;-0,0608;0,9727
"piocher";-0,3502;0,6393;0,4276;-0,0939;-0,4149
"stabiliser";0,3272;0,5005;-0,7333;-0,1757;-0,2973
"allah";0,3371;-0,2003;-0,1554;-0,0718;0,2512
"raisonnées";-0,2396;0,4408;0,6875;-0,1712;-0,4662
"parasiter";0,2569;-0,3077;-0,2032;0,7112;0,2109
"gradation";0,8692;-0,226;0,4952;-0,0773;-0,6042
"état_civil";-0,3502;0,6393;-0,2032;-0,0939;0,2109
"décennie";0,9532;0,4162;0,9313;0,366;-1,2247
"engouement";1,3173;0,5905;-0,2151;-0,0994;-1,0116
"39h";0,5898;0,5013;-0,4542;0,4165;-0,5908
"emprisonner";-0,2519;0,414;0,2325;-0,1768;-0,2578
"instructif";1,4627;0,5679;-0,3227;-0,1491;-0,9642
"députe";-0,3708;0,5905;1,0726;-0,0994;-0,6455
"liasse";0,3371;0,4325;-0,1554;-0,0718;-0,3573
"étanche";0,7333;1,6874;0,4276;-0,0939;-2,1825
"antilles";0,3412;-0,8182;0,2242;-0,1823;0,6071
"extrêmement";-1,6846;-1,9724;-2,0597;-2,5964;6,0027
"service";1,8893;5,2701;1,8664;6,0412;-11,7133
"dissuasion";-1,9474;-2,9095;-0,5256;-0,9666;5,505
"cambriolage";-0,5321;0,2988;0,4492;0,5868;-0,3257
"master";-0,2278;-1,1074;-0,8366;-0,3866;1,7482
"acharnement";-0,2022;0,5051;0,4366;-0,2596;-0,4408
"judéo";-0,3418;-0,6026;0,5435;0,4078;0,3927
"baliser";0,2128;1,9879;0,3734;-0,1105;-1,6938
"intercommunaux";0,329;0,3153;0,5685;0,4594;-0,6182
"culinaire";-0,206;0,1911;-0,1195;-0,0552;0,3713
"defendre";1,1002;-0,1994;-0,2629;0,6125;-0,685
"severement";-0,3296;-0,2797;1,1628;-0,0884;-0,2313
"affaire";-0,3929;0,6271;-2,5136;-1,1721;0,887
"ophtalmologiste";-0,1809;3,2561;0,8059;-0,1436;-2,9535
"cristallisation";-0,206;-0,4485;-0,1195;-0,0552;0,8843
"bafouer";-0,5639;0,7939;1,2465;-0,2178;-0,8422
"transverse";0,4902;-1,1213;-0,2988;-0,1381;0,8694
"raisonnés";-0,2576;0,3759;-0,6334;-0,2927;0,4704
"fiscalite";-0,5153;0,6791;-1,355;1,9067;-0,4304
"intrinsèque";0,6593;0,546;-0,2271;-0,1049;-0,5788
"purger";1,2307;0,4266;0,3124;0,2726;-1,1318
"calquer";0,5449;0,6556;-0,1858;0,5947;-0,9789
"pompeux";0,3141;-0,226;-0,1673;-0,0773;0,2934
"tech";-1,2976;-0,9112;-0,7529;0,2587;2,2443
"ethnique";-2,5429;-0,6077;-1,5846;0,4261;2,488
"honteusement";0,7948;-0,3718;0,7091;-0,1657;-0,5092
"inconséquence";0,7749;-0,7176;-0,1912;-0,0884;0,3841
"ldd";0,391;-0,1516;0,583;-0,0608;-0,4811
"nordique";0,432;1,324;0,3282;0,6924;-1,5365
"annihiler";-0,309;-0,6728;-0,1793;-0,0829;1,3264
"rica";0,2128;-0,897;-0,239;0,6486;0,5865
"autoroutières";0,4902;-0,5507;0,8332;0,5648;-0,5125
"impôt";-9,9807;-11,6722;-7,3965;-2,7589;31,881
"industrialisé";1,5232;2,5293;-0,1402;0,4165;-3,7592
"modestement";-0,67;-0,3131;-0,2486;-0,4916;0,8473
"démarchage";1,0107;0,3735;0,3157;0,58;-1,2246
"échange";0,6057;1,1592;-1,736;-1,2758;-0,3738
"allègement";-0,2539;-1,0525;0,3738;0,2281;0,7395
"haïr";-0,4531;-0,4561;-0,2629;-0,1215;1,1696
"alternative";-3,404;0,4279;0,4277;-0,2888;1,0443
"clarifier";-2,7654;-1,3639;-2,6055;0,3616;4,4787
"convecteurs";-0,5149;-0,5507;-0,2988;-0,1381;1,3881
"désigner";-0,6718;0,4535;0,6149;-0,7551;0,3292
"irp";-0,3914;-0,8522;-0,2271;-0,1049;1,6801
"motorisations";0,6116;-0,5486;0,5754;-0,2044;-0,2714
"traquer";0,9106;-0,3085;1,0496;0,8279;-1,2001
"loti";-0,2051;-0,46;-0,343;0,2415;0,5398
"loto";0,2666;-1,2691;1,0758;-0,3369;0,5355
"irm";0,6581;0,9096;0,2088;3,0102;-2,6202
"discipline";0,5984;-3,3188;3,6873;-0,2923;0,3847
"nature";2,5644;4,1001;2,4;3,9159;-10,985
"hydrogène";-0,6315;5,8158;0,6663;-1,0307;-3,223
"endettement";0,3164;-0,5618;0,3768;-0,3449;0,4541
"percuter";0,4229;2,8241;-0,1195;-0,0552;-2,3824
"écourter";1,7971;-0,5382;-0,1434;-0,0663;-0,4142
"innombrable";-0,9952;0,2728;0,2676;0,27;0,541
"basque";-0,7415;4,6917;-0,4303;0,4349;-2,486
"escalade";-0,3296;-0,2797;0,4484;-0,0884;0,3841
"solaire";3,1354;13,4963;1,9806;5,4426;-22,9214
"dévolution";-0,5355;9,827;-0,3107;-0,1436;-5,8532
"source";-0,7129;-0,4192;-0,8603;0,2958;0,9396
"much";-0,2472;-0,5382;-0,1434;-0,0663;1,0611
"cdc";2,5733;-0,7496;2,0217;-0,1712;-1,7322
"intuitif";-0,2386;-0,9521;0,7941;-0,2817;0,5958
"distinctif";0,932;-0,7262;0,7111;0,2929;-0,4805
"tutoyer";-0,2266;1,0676;0,583;-0,0608;-0,8929
"barque";0,2743;-0,7176;-0,1912;-0,0884;0,7508
"valorisantes";0,3141;0,8183;-0,1673;0,7875;-1,0074
"emploi";2,993;6,4686;3,816;0,4147;-12,3179
"quantifiables";0,3141;-0,6279;-0,1673;-0,0773;0,6187
"boule";-0,3686;0,9909;-0,1588;-0,2265;-0,4708
"verger";-0,1375;2,4039;0,9241;-0,1215;-2,4806
"alimentation";0,8388;3,3649;0,4262;0,986;-4,0072
"synthétique";-0,4443;-0,7671;0,2953;-0,5932;1,0087
"peindre";-0,4119;1,3954;-0,239;-0,1105;-0,5193
"marcher";0,4833;-1,1342;-0,6084;-0,6327;1,1015
"vivier";2,7014;-1,4336;-0,5976;-0,2762;0,2541
"algue";-0,6891;7,2064;1,0362;-0,348;-5,1848
"servicepublic";-0,206;-0,4485;-0,1195;-0,0552;0,8843
"aboutissant";-0,3279;0,4266;0,3124;0,7551;-0,5149
"engie";0,2666;-0,5634;0,3047;-0,3369;0,5355
"déconner";0,82;0,7524;0,4708;0,7602;-1,9372
"dépensières";-0,2266;0,5307;-0,1315;-0,0608;0,1741
"hab";0,2752;0,5013;-0,1402;-0,2099;-0,397
"had";-0,4737;0,4025;1,627;-0,127;-0,6219
"sieste";0,3371;-0,2003;1,3268;0,817;-1,1306
"has";-0,5561;-1,211;0,7799;-0,1491;0,9896
"municipal";-0,591;8,8315;1,2914;-0,8472;-5,8515
"confection";-0,309;0,3557;-0,1793;-0,0829;0,3378
"traumatisme";-0,2396;2,0666;-0,3705;-0,1712;-0,9908
"exceptionnellement";0,2529;-1,0655;-0,1525;-0,2209;0,9337
"indicative";0,391;-0,1516;-0,1315;-0,0608;0,1741
"shadow";-0,206;-0,4485;-0,1195;-0,0552;0,8843
"dîner";-0,3285;0,2843;-0,1402;-0,2099;0,3622
"semi";0,5349;0,7849;0,4129;0,3648;-1,1285
"fournir";1,4292;1,7161;1,0296;0,5218;-3,3704
"arbitre";-0,412;-1,3104;0,3466;0,4954;0,9137
"fanatisme";-0,4531;-0,4561;0,3428;-0,1215;0,6962
"hérésie";-0,496;0,3398;0,8329;0,611;-0,523
"théorie";0,334;-0,2806;-0,2693;-0,3458;0,3175
"chantier";1,6747;-0,7767;-1,807;-0,5925;0,5949
"bottom";-0,4325;-0,1807;-0,251;-0,116;0,6408
"descendre";-0,4714;2,0106;0,7034;0,7379;-1,9157
"moraliser";-0,2576;-0,4027;0,7595;-0,2927;0,3207
"bati";-0,206;-0,4485;-0,1195;-0,0552;0,8843
"bonifiés";-0,4119;-0,897;-0,239;-0,1105;1,7685
"economiques";-1,5448;-0,2654;0,4774;-0,4143;0,7918
"match";-0,4531;-0,4561;-0,2629;-0,1215;1,1696
"marshall";-0,8081;-0,3961;-0,4855;1,6361;0,4692
"altitude";0,4677;-0,5831;-0,3107;6,1223;-1,4283
"sixaine";-0,4119;-0,897;-0,239;-0,1105;1,7685
"singulier";-0,3708;0,2684;0,4082;-0,0994;0,2441
"holistique";0,3371;-0,5831;-0,1554;0,817;0,2512
"manipulateur";0,6344;-1,6146;-0,4303;0,4349;0,7414
"cramif";-0,3708;-0,8073;-0,2151;-0,0994;1,5917
"réfléchi";-0,4043;0,4477;0,2958;2,7394;-0,9362
"30k";-0,2266;-0,4934;0,583;-0,0608;0,4306
"errer";0,2932;-0,2525;-0,1793;-0,0829;0,3378
"pareillement";-0,309;0,3557;1,2131;-0,0829;-0,5325
"creuser";1,0086;-0,578;0,6198;0,2487;-0,5186
"insidieusement";0,3625;-0,5382;0,5509;0,8491;-0,4142
"signification";-0,4842;-0,2534;-0,8844;-0,4087;0,9843
"role";-0,968;-2,6779;0,6409;-0,8409;2,7221
"diurne";0,9231;-0,2003;-0,1554;-0,0718;-0,3573
"palme";0,3547;-1,3936;-0,4318;-1,0992;1,5553
"longueur";-0,2843;0,6571;0,4724;0,2731;-0,6594
"réglementaire";-1,8281;-0,3356;-1,6245;0,3628;1,6779
"variable";-0,4119;-0,3187;1,0352;0,5879;-0,4916
"transporter";1,394;-0,526;-0,3191;0,5472;-0,5559
"egypte";-0,4531;-0,1994;-0,2629;-0,1215;0,6962
"corps";-2,1109;0,2941;-2,2419;-0,6878;2,3385
"massivement";-2,3268;-1,6736;-4,1289;-0,4394;5,8495
"rt2012";-0,2266;1,7602;-0,1315;-0,0608;-0,8929
"accélération";0,5635;-1,2016;-0,6651;-0,8396;1,2681
"étape";0,3656;-1,4923;-1,3753;-1,2889;2,2667
"amplification";-0,309;-0,2525;-0,1793;-0,0829;0,6842
"dérober";-0,206;-0,4485;-0,1195;-0,0552;0,8843
"gateau";0,3625;-0,1754;-0,1434;-0,0663;0,2114
"emballage";1,7258;0,8713;-1,1352;-0,831;-0,8509
"crible";-0,309;-0,6728;-0,1793;-0,0829;1,3264
"truquer";0,2569;0,2945;-0,2032;-0,0939;0,2109
"cassé";0,2529;-0,3578;-0,4781;0,3993;0,4242
"jardiner";2,0636;1,9321;-0,1463;0,4078;-3,592
"conquête";-0,568;-2,4668;-0,2534;0,8141;1,7569
"financierement";-0,8651;-0,2189;-0,502;-0,232;1,0348
"consolidé";0,3625;-0,5382;-0,1434;-0,0663;0,4918
"exact";2,002;0,7771;0,9251;0,4004;-2,6227
"minute";0,5736;0,7434;0,312;-0,3427;-0,8161
"epic";-0,3708;-0,8073;-0,2151;-0,0994;1,5917
"venise";-0,3914;-0,8522;0,3902;-0,1049;0,9566
"caniculaire";0,4495;-1,4008;-0,3276;-0,359;1,1563
"cheres";0,2128;-0,3951;-0,239;-0,1105;0,5865
"bovin";-0,3959;-0,2336;0,4864;1,767;-0,5866
"syndiquer";1,01;0,2843;-0,4542;-0,2099;-0,397
"doublement";-0,5688;0,2623;-0,4548;-0,4474;0,7868
"performant";0,7013;2,7574;0,3653;0,5674;-2,9697
"rationalité";-0,7209;-0,8878;-0,4183;-0,1933;2,1454
"pedagogie";0,305;-0,4805;-0,6812;-0,3148;0,819
"energivore";0,4229;0,5907;-0,1195;-0,0552;-0,5605
"benson";-0,309;-0,6728;-0,1793;-0,0829;1,3264
"poliment";-0,2884;-0,226;-0,1673;-0,0773;0,6187
"queue";-0,4437;-0,4571;-0,7564;-0,9059;1,2513
"impacter";0,6843;-1,0503;-0,8127;0,2374;0,7632
"endetter";3,5179;-0,2547;0,3906;-0,8506;-1,4922
"prodiguer";-0,4943;-0,5188;0,8619;-0,1326;0,4807
"opposer";-1,171;-0,2846;-0,5212;0,3503;0,8163
"working";-0,5561;-1,211;-0,3227;-0,1491;2,3875
"sommaire";-0,2396;-0,1954;0,2412;-0,1712;0,3179
"alimentaire";3,5816;4,7637;-0,4277;0,77;-7,1694
"thèse";-0,2673;0,3577;-0,6454;-0,2983;0,5005
"etude";1,6502;-0,5634;0,3047;-0,3369;-0,4841
"réintroduction";-0,3815;-0,651;-0,3276;0,7022;0,6614
"beneficie";0,2569;-0,3077;-0,2032;-0,0939;0,4323
"théoriquement";-0,6432;0,2648;-0,7171;0,7551;0,5059
"volonté";0,3502;2,3189;1,3437;0,7611;-3,0563
"salaire";11,7417;17,3311;0,598;1,5088;-29,3135
"ladite";-0,9269;-0,7724;-0,1846;-0,2486;1,6269
"bienvenu";-1,4635;-1,4512;-0,7052;-0,2259;3,1145
"bioéthique";-0,6891;2,1285;-0,3124;-0,348;-0,7642
"nettoyer";0,8384;-4,0635;-0,7251;-0,4187;2,466
"encarter";1,5264;-0,2525;1,2131;0,7602;-1,9372
"académie";0,9866;-0,3482;-0,2268;-0,3777;-0,3988
"apostat";-0,2266;1,0676;-0,1315;-0,0608;-0,4811
"douane";0,44;0,3335;-1,2333;-0,9169;0,5636
"coordonner";0,3608;0,3327;0,6008;0,2307;-0,5539
"admirer";-0,2275;1,1678;0,2503;-0,1657;-0,7595
"litre";1,6807;1,5079;0,5413;-0,9059;-2,2927
"edouard";-0,7209;-1,5698;0,2088;-0,1933;2,1454
"volonte";-0,4325;0,4681;0,3576;-0,116;-0,253
"sainement";1,0084;0,8405;-0,6334;-0,2927;-0,7822
"jurer";-0,3072;-0,5008;-0,6932;1,429;0,4489
"maquiller";0,2743;-0,7176;-0,1912;-0,0884;0,7508
"argumentées";0,3266;-0,4703;0,2163;-0,1878;0,4152
"suprême";0,2529;-1,0655;1,026;0,3993;0,2687
"episodes";-0,3154;-0,2994;-0,4422;-0,2044;0,7881
"rejeter";-1,2965;1,1699;-0,2777;-1,2929;0,3611
"chauffant";1,5681;-0,2994;-0,4422;0,4256;-0,6367
"arnaque";1,4825;0,8049;0,4655;-0,3345;-1,605
"troubler";-0,3708;-0,3363;0,4082;0,6891;0,2441
"nomenclature";-0,3708;-0,3363;-0,2151;-0,0994;0,8871
"tisser";-0,3154;-0,2994;1,1049;-0,2044;-0,2714
"aboli";1,4511;-0,7176;1,1628;-0,0884;-0,8045
"pendre";0,3128;-0,496;1,8376;0,4446;-0,7386
"depasse";0,241;-0,8073;-0,2151;0,6891;0,4822
"4e";-0,3279;-1,2365;-0,2899;-0,3314;1,6089
"désengage";0,2128;0,5054;-0,239;-0,1105;-0,2863
"corrélée";-0,3708;-0,3363;-0,2151;0,6891;0,4822
"prisme";-1,1741;0,7154;-0,2679;-0,3148;0,4216
"périurbains";-0,3914;-0,8522;0,3902;-0,1049;0,9566
"abstraction";-0,1809;0,322;2,2983;-0,1436;-1,044
"corrélés";-0,2678;-0,5831;-0,1554;-0,0718;1,1495
"trajectoire";-0,7013;-1,6711;2,2978;-0,6518;0,8046
"désavantage";-0,1923;0,5679;-0,3227;-0,1491;-0,2422
"internet";5,4293;1,8671;1,9879;1,6172;-8,3324
"incentives";-0,2266;-0,4934;-0,1315;-0,0608;0,9727
"rajouter";0,6178;1,4175;0,9362;1,3517;-2,719
"encadrants";0,4265;0,8728;0,7552;0,5234;-1,6354
"lepen";0,4229;-0,4485;2,6821;-0,0552;-1,0234
"instabilité";-0,9345;-1,3289;-0,6914;-1,3533;2,9668
"trésoreries";0,3412;2,4391;0,2242;1,1861;-2,9126
"sms";-0,5532;0,5579;0,7429;-0,2983;-0,388
"protéger";-0,3839;-0,5156;-1,2101;-1,1782;1,3213
"spécifique";0,6486;-1,8424;-1,4836;-1,5085;2,2835
"ampleur";-1,1447;-0,7643;-1,6245;0,9088;1,6779
"onf";0,3726;-0,3958;-0,3705;3,214;-0,7013
"ong";-0,9212;-0,9753;-1,5642;-1,8781;3,0882
"parkinson";-0,5355;-0,281;28,1323;-0,1436;-13,7354
"one";-1,1741;-2,5565;-0,6812;-0,3148;5,0403
"farouchement";-0,2884;-0,6279;-0,1673;0,7875;0,6187
"bronchite";-0,4119;-0,897;-0,239;-0,1105;1,7685
"onu";0,6012;-1,196;2,6379;0,3134;-0,5729
"désertifiées";1,5264;-0,2525;-0,1793;-0,0829;-0,5325
"zoé";1,4511;-0,7176;1,1628;-0,0884;-0,8045
"déconnecter";0,3117;1,0371;1,1254;1,3219;-1,9552
"magnifique";1,3095;0,3859;1,3353;0,6365;-2,0568
"specialiste";-0,2266;0,5307;-0,1315;-0,0608;0,1741
"aborder";-0,8519;0,4165;1,7614;-1,0636;-0,3595
"défaillance";-0,3607;0,3054;-0,3607;-0,5965;0,5499
"sous_préfecture";0,5052;1,9796;1,1753;1,724;-3,8948
"mêler";-0,2681;-1,4546;-0,4474;-0,5612;1,6504
"irréaliste";-0,1906;-0,651;-0,7768;-0,359;1,1563
"prétendu";1,6134;4,4946;0,8182;0,2079;-6,348
"bannir";0,4987;-0,6058;0,4073;1,0435;-0,4111
"chaines";1,9296;1,1582;-0,3973;-0,6786;-1,6215
"méditation";5,0779;-0,6026;-0,4661;-0,2154;-1,362
"déplafonner";0,2569;0,2945;-0,2032;-0,0939;0,2109
"entraver";-0,3075;-0,3492;0,3673;0,6899;-0,2968
"proactive";-0,5355;-0,5831;-0,3107;-0,1436;1,4621
"réductrices";-0,206;-0,4485;0,6188;-0,0552;0,3713
"planete";-0,8295;-0,4793;0,5312;-0,1975;0,6665
"transitoire";-0,628;1,9543;-0,7051;0,2775;-0,7302
"additif";-0,3363;1,8674;-0,3421;0,4163;-1,1912
"zoo";-0,2472;-0,5382;-0,1434;-0,0663;1,0611
"perdre";-0,657;-0,3742;-0,2985;0,8502;0,4146
"défiler";1,1889;-0,2281;-0,3944;0,465;-0,5973
"buffet";0,391;-0,4934;-0,1315;-0,0608;0,4306
"trottoir";-2,4315;-15,7698;-2,7462;-2,0721;21,3059
"imaginer";-0,7146;-0,3619;-0,3058;-1,8188;1,0284
"opérationnel";-0,5084;-1,4106;-0,6142;0,325;1,6606
"barème";-1,1495;-1,2485;-0,4008;-0,5796;2,2209
"friction";0,4229;-0,4485;-0,1195;-0,0552;0,3713
"elan";-0,4737;-1,0316;-0,2749;-0,127;2,0338
"presse";-0,3597;0,5182;-0,7762;-1,9062;0,6381
"litige";0,9439;-0,8973;-0,5132;-0,4861;0,6346
"retraite";20,8135;18,0524;37,6862;-6,0238;-59,8575
"établir";-0,8385;0,5975;-1,3053;0,512;0,5432
"monde";3,4614;1,9209;0,4404;1,9052;-5,3026
"volatilité";-0,2472;0,9743;-0,1434;-0,0663;-0,4142
"agronomie";-0,206;0,1911;-0,1195;0,9229;-0,2406
"vision";0,3214;-2,8257;0,9206;-0,4286;1,4157
"désincarné";-0,3296;-0,2797;-0,1912;-0,0884;0,7508
"emmanuel";-2,0274;-0,9975;-0,5914;-0,3345;2,7827
"deplacements";-0,4804;0,987;-0,2114;0,8946;-0,7472
"croisade";-0,206;0,1911;-0,1195;-0,0552;0,3713
"fautif";0,6658;0,6346;-0,2377;-0,1555;-0,7758
"vacciner";-0,1587;-0,5188;-0,2868;0,58;0,4807
"humoriste";0,3141;-0,226;-0,1673;-0,0773;0,2934
"retraité";113,9495;160,032;Inf;-1,9913;-Inf
"rétro";-0,5355;6,6278;0,2915;-0,1436;-4,2777
"parfaitement";0,6401;0,3427;0,9452;-1,184;-0,5792
"developpement";-0,2539;-0,2801;-1,1456;-0,8672;0,8836
"gouvernance";-1,7306;-0,6341;-0,7061;-0,325;1,9347
"législations";-1,3182;2,4921;-0,32;-0,3535;-0,7242
"différenciation";-0,2519;-0,7838;0,2325;0,4758;0,5645
"moyenne";-0,4439;0,3022;-0,772;-0,4977;0,6634
"inutile";0,3315;0,7921;1,5086;0,4538;-1,4046
"consulter";0,6923;0,386;0,4466;1,3421;-1,0536
"détenir";0,3187;-0,2793;0,2915;-0,4064;0,3056
"schizophrénie";-0,3296;-0,7176;-0,1912;-0,0884;1,4148
"motives";2,9326;-0,4934;-0,1315;-0,0608;-0,8929
"motiver";-0,6931;-0,7608;0,659;-0,5153;0,8423
"jospin";0,3266;-0,4703;0,2163;-0,1878;0,4152
"inopiné";-0,2678;-0,2003;1,3268;-0,0718;-0,3573
"abject";1,7664;-0,2281;-0,3944;0,465;-0,8558
"former";-0,7591;0,5093;2,29;-0,7333;-0,6174
"blanchir";-0,3296;0,3234;0,4484;-0,0884;-0,2313
"agaçant";0,3141;1,3814;-0,1673;-0,0773;-1,0074
"effectivité";-0,628;-1,2042;-0,7051;0,2775;1,9972
"situation";-1,8363;-1,0112;-0,9263;0,2911;2,4608
"immiscer";-0,6591;0,6977;0,6668;0,4758;-0,6473
"supercherie";0,82;-0,6728;-0,1793;-0,0829;0,3378
"engager";-0,6416;-0,7392;-0,4349;0,5975;0,8587
"procurations";0,3266;0,6246;0,628;-0,1878;-0,7952
"surgir";-0,7209;-0,496;0,2088;0,4446;0,6957
"cuire";-0,2472;-0,1754;-0,1434;-0,0663;0,4918
"verifier";-0,5561;-0,3029;-0,3227;-0,1491;0,9896
"éloigner";1,346;3,1107;-1,0917;1,8102;-3,6637
"géographiquement";1,8656;0,7489;-0,2111;-0,4529;-1,4116
"brasser";-0,4737;0,4025;-0,2749;0,5958;0,2378
"hôte";-0,1809;-0,5831;0,8059;-0,1436;0,3341
"concentrer";0,5006;-2,1975;-2,3834;0,4157;2,308
"shore";-0,5355;0,6055;-0,3107;-0,1436;0,3341
"amortisseur";0,514;1,0982;-0,2868;-0,1326;-0,8606
"dimension";-0,641;-0,7249;0,6036;0,5325;0,5626
"recycler";0,4911;-1,7049;-0,3885;1,1724;0,7514
"sejour";0,2002;-0,4254;0,9579;-0,116;-0,253
"surdimensionnées";0,3625;0,9743;0,5509;-0,0663;-1,2722
"reposant";-0,5321;-0,9633;-0,9322;-0,4308;2,1879
"fragilisées";0,4265;1,7889;0,2698;0,5234;-2,0955
"4eme";-0,3551;-1,0655;-0,4781;-0,2209;1,8398
"spectateur";0,709;-0,445;0,2242;0,465;-0,3902
"polonais";1,4411;0,5488;-0,98;-0,4529;-0,6151
"plumer";-0,2884;-0,226;0,4952;-0,0773;0,2934
"categorie";-0,4943;1,0982;-0,2868;-0,1326;-0,3364
"réintroduisant";-0,2678;-0,5831;-0,1554;0,817;0,5545
"parution";1,0541;0,7357;1,627;0,5958;-2,9053
"recrudescence";2,5003;-0,7838;-0,3824;0,4758;-0,6473
"traffic";-0,4661;0,2891;-0,5737;-0,2651;0,7121
"ademe";-2,101;-0,687;-0,3238;-0,5634;2,258
"unesco";-0,3502;1,1071;0,4276;0,7112;-1,1171
"postal";1,0648;-0,374;1,7594;0,2807;-1,2359
"référence";1,045;0,7877;0,817;0,4853;-1,8265
"tomber";0,7685;0,7488;1,0043;0,9646;-1,8985
"normalité";0,2569;0,2945;-0,2032;0,7112;-0,4149
"ponctuel";-0,767;-1,0732;-1,2514;-0,4963;2,422
"europeen";-1,0243;0,7011;-1,0039;-0,464;0,6909
"magma";-0,309;0,3557;1,2131;-0,0829;-0,5325
"répandre";-0,4786;-0,3393;0,8749;-0,3113;0,3011
"punitifs";-0,2884;0,3918;-0,1673;0,7875;-0,3088
"ouvrier";1,8979;3,9202;2,6682;0,67;-8,1596
"énormité";0,391;-0,1516;-0,1315;-0,0608;0,1741
